DealNumber,CustomerName,DealershipName,Vehicle,Price,Date
5132,Rahima Skinner,Seven Star Dealership,2009 Lamborghini Gallardo Carbon Fiber LP-560,"169,900",1/14/2018
5212,Richard Spencer,Milton Jeep Limited,2018 Jeep Grand Cherokee Trackhawk,"134,599",7/13/2018
5268,Naseem Snow,"Scott Toronto Dealership, Inc",2018 BMW M760Li Xdrive Sedan,"177,608",1/21/2018
5298,Jakob Osborn,Coreen Dealership,2017 Dodge Viper New Car ACR,"229,998",6/11/2018
5359,Maxine Daniels,Saskatoon Ferrari,2017 Ferrari 488 Spider,"419,955",7/15/2018
5465,Ségolène Lémery,Richaremus Jafur Dealer,2017 Chevrolet Corvette Z06,"132,925",3/4/2018
5469,Milli Fulton,Sun of Saskatoon,2017 Ferrari 488 Spider,"429,987",6/19/2018
5545,Élie Boutroux,Horseallen Cars,2018 Lexus LS 500h ,"164,810",2/5/2018
5712,Donald Waters,Milton Jeep Limited,2018 Jeep Grand Cherokee Trackhawk,"135,500",6/21/2018
5765,Storm William,Mythicgarcia Dealership LTDA,2018 Mercedes-Benz S-Class Cabriolet,"189,693",3/22/2018
5795,Aroush Knapp,Maxwell & Junior,2016 Porsche 911 2dr Cpe GT3 RS,"289,900",6/7/2018
5812,Anwar Hoffman,"Legowart Kingorty, Ltd.",2018 Jeep Grand Cherokee Trackhawk,"130,936",5/11/2018
5890,Ronnie Griffiths,Cheruharrison Auto,2018 Nissan GT-R Premium,"147,018",4/8/2018
5891,Storm William,Mythicgarcia Dealership LTDA,2019 Mercedes-Benz S-Class Cabriolet,"117,640",3/22/2018
5892,Aroush Knapp,Maxwell & Junior,2017 Porsche 911 2dr Cpe GT3 RS,"88,941",6/7/2018
5893,Anwar Hoffman,"Legowart Kingorty, Ltd.",2019 Jeep Grand Cherokee Trackhawk,"60,242",5/11/2018
5894,Ronnie Griffiths,Cheruharrison Auto,2019 Nissan GT-R Premium,"31,543",4/8/2018
5895,Storm William,Mythicgarcia Dealership LTDA,2020 Mercedes-Benz S-Class Cabriolet,"2,844",3/22/2018
5896,Aroush Knapp,Maxwell & Junior,2018 Porsche 911 2dr Cpe GT3 RS,"-25,855",6/7/2018
5897,Anwar Hoffman,"Legowart Kingorty, Ltd.",2020 Jeep Grand Cherokee Trackhawk,"-54,554",5/11/2018
5898,Ronnie Griffiths,Cheruharrison Auto,2020 Nissan GT-R Premium,"-83,253",4/8/2018
5899,Storm William,Mythicgarcia Dealership LTDA,2021 Mercedes-Benz S-Class Cabriolet,"-111,952",3/22/2018
